Product,Sales,Quantity Ordered,Order Count
Macbook Pro Laptop,8037600.0,4728,4724
iPhone,4794300.0,6849,6842
ThinkPad Laptop,4129958.7,4130,4128
Google Phone,3319200.0,5532,5525
27in 4K Gaming Monitor,2435097.56,6244,6230
34in Ultrawide Monitor,2355558.0100000002,6199,6181
Apple Airpods Headphones,2349150.0,15661,15549
Flatscreen TV,1445700.0,4819,4800
Bose SoundSport Headphones,1345565.43,13457,13325
27in FHD Monitor,1132424.5,7550,7507
Vareebadd Phone,827200.0,2068,2065
20in Monitor,454148.70999999996,4129,4101
LG Washing Machine,399600.0,666,666
LG Dryer,387600.0,646,646
Lightning Charging Cable,347094.14999999997,23217,21658
USB-C Charging Cable,286501.25,23975,21903
Wired Headphones,246478.43,20557,18882
AA Batteries (4-pack),106118.4,27635,20577
AAA Batteries (4-pack),92740.83,31017,20641
